#Cfactor 0.00395257
Recipient	DC_A6_georgia_EvansCo_FtStewart_sorted	DC_AUHT-5492_florida_HighlandsCo_Archbold_sorted	DC_AUHT-5495_florida_HighlandsCo_Archbold_sorted	DC_AUHT-5505_florida_HighlandsCo_Archbold_sorted	DC_AUHT-5511_florida_HighlandsCo_PlacidLakes_sorted	DC_AUHT-5514_florida_IndianRiverCo_Fellsmere_sorted	DC_AUHT-5517_florida_MartinCo_IndianTown_sorted	DC_AUHT-5520_florida_HighlandsCo_LakePlacid_sorted	DC_AUHT-5522_florida_HighlandsCo_LakeJuneinWinter_sorted	DC_AUHT-5523_florida_HighlandsCo_LakeWalesRidge_sorted	DC_AUHT-5540_florida_HighlandsCo_LakeIstokpoga_sorted	DC_AUHT-5566_florida_HighlandsCo_PlacidLakes_sorted	DC_AUHT-5579_florida_CaptivaCo_CaptivaIsland_sorted	DC_AUHT-5581_florida_HighlandsCo_LakeWalesRidgeOrangeBlossom_sorted	DC_AUHT-5585_florida_HighlandsCo_LakeWalesRidgeLPScrub_sorted	DC_AUHT-5588_florida_HighlandsCo_Venus_sorted	DC_AUHT-5593_florida_HighlandsCo_PlacidLakes_sorted	DC_AUHT-5598_florida_HighlandsCo_LakeJuneinWinter_sorted	DC_AUHT-5601_florida_Archbold_sorted	DC_AUHT-5603_florida_HighlandsCo_SebringGrassyCreek_sorted	DC_AUHT-5606_florida_HighlandsCo_Venus_sorted	DC_AUHT-5613_florida_HighlandsCo_HighlandsHammock_sorted	DC_AUHT-5615_florida_Montura_OkaloacoocheeSlough_sorted	DC_AUHT-5617_florida_CaptivaCo_CaptivaIsland_sorted	DC_AUHT-5626_florida_MiamiDadeCo_NearTurkeyPoint_sorted	DC_AUHT-5635_florida_HighlandsCo_Archbold_sorted	DC_AUHT-5636_florida_HighlandsCo_Venus_sorted	DC_AUHT-5637_florida_HighlandsCo_Venus_sorted	DC_AUHT-5646_georgia_Hahira_sorted	DC_AUHT-5651_georgia_EvansCo_Daisy_sorted	DC_AUHT-5654_georgia_EvansCo_Daisy_sorted	DC_AUHT-5655_georgia_EvansCo_Daisy_sorted	DC_AUHT-5662_georgia_BryanCo_sorted	DC_AUHT-5665_georgia_EvansCo_Daisy_sorted	DC_AUHT-5666_georgia_BryanCo_sorted	DC_AUHT-5667_georgia_BryanCo_Southward_sorted	DC_AUHT-5668_georgia_EvansCo_Daisy_sorted	DC_AUHT-5670_georgia_WayneCo_Akin_sorted	DC_AUHT-5675_georgia_LongCo_Tibet_sorted	DC_AUHT-5681_georgia_WheelerCo_Scotland_sorted	DC_AUHT-5683_georgia_EvansCo_Daisy_sorted	DC_AUHT-5687_georgia_CoffeeCo_SappsStill_sorted	DC_AUHT-5695_georgia_CoffeeCo_SappsStill_sorted	DC_AUHT-5698_georgia_CoffeeCo_Pridgen_sorted	DC_AUHT-5706_georgia_WheelerCo_LumberCity_sorted	DC_AUHT-5713_georgia_WheelerCo_LumberCity_sorted	DC_AUHT-5716_georgia_WheelerCo_LumberCity_sorted	DC_AUHT-5725_georgia_WheelerCo_LumberCity_sorted	DC_AUHT-5727_georgia_TelfairCo_McRaeHelena_sorted	DC_AUHT-5729_georgia_TelfairCo_Snipesville_sorted	DC_AUHT-5733_georgia_TelfairCo_Jacksonville_sorted	DC_AUHT-5734_georgia_TelfairCo_Jacksonville_sorted	DC_AUHT-5735_georgia_BryanCo_Southward_sorted	DC_AUHT-5744_georgia_WheelerCo_LumberCity_sorted	DC_AUHT-5765_georgia_BryanCo_Southward_sorted	DC_AUHT-5793_georgia_TelfairCo_Snipesville_sorted	DC_AUHT-5803_georgia_CoffeeCo_Pridgen_sorted	DC_AUHT-5808_georgia_TelfairCo_Jacksonville_sorted	DC_AUHT-5827_georgia_TelfairCo_Jacksonville_sorted	DC_AUHT-5830_georgia_TelfairCo_Snipesville_sorted	DC_AUHT-5871_georgia_EvansCo_Daisy_sorted	DC_AUHT-5876_georgia_FortStewart_Willie_sorted	DC_B4_georgia_BryanCo_FtStewart_sorted	DC_B8_georgia_BryanCo_FtStewart_sorted	DC_C2_georgia_TelfairCo_sorted	DC_D2_georgia_Conecuh_sorted	DC_D9_georgia_Conecuh_sorted	DC_E2_georgia_GenCoffeeStatePark_sorted	DC_F6_georgia_BryanCo_FtStewart_sorted	DC_F9_georgia_BryanCo_FtStewart_sorted	DC_FEMALET_unknown_unknown_sorted	DC_FEMALEV_unknown_unknown_sorted	DC_G4_georgia_EvansCo_Canoochee_sorted	DC_G9_georgia_EvansCo_SandsSiteCanoochee_sorted	DC_H4_georgia_EvansCo_WarnellCanoochee_sorted	DC_H5_georgia_EvansCo_WarnellCanoochee_sorted	DC_I2_georgia_BroxtonRocksTNC_sorted	DC_K3_georgia_WheelerCo_LittleOcmulgee_sorted	DC_K5_georgia_WheelerCo_LittleOcmulgee_sorted	DC_L2_georgia_AlapahaRiverRanch_sorted	DC_MB2702_UF123385_Florida_Alachua_sorted	DC_MB2705_UF150061_Florida_Citrus_sorted	DC_MB2706_UF150062_Florida_Marion_sorted	DC_MB2709_UF152860_Florida_Citrus_sorted	DC_MB2710_UF153475_Florida_Putnam_sorted	DC_MB2717_UF157531_Florida_Gilchrist_sorted	DC_MB2719_UF165218_Florida_Citrus_sorted	DC_MB2723_076321591_Gerogia_OISPNorth_sorted	DC_MB2724_605806003_Georgia_GaskinsProperty_sorted	DC_MB2803_605804613_MoodyForest_sorted	DC_MB2805_604806826_FortStewart_sorted	DC_MB2810_605359320_CanoocheeSandhillsWMA_sorted	DC_MB2813_605056639_OISPNorth_sorted	DC_MB2815_603639016_GaskinsProperty_sorted	DC_MB2818_066265616_OISPNorth_sorted	DC_MB2819_606112553_GaskinsProperty_sorted	DC_MB2828_605799017_GaskinsProperty_sorted	DC_MB2833_605066603_ReddingProperty_sorted	DC_MB2836_076308773_OISPNorth_sorted	DC_MB2838_605791060_BroxtonRocksEast_sorted	DC_MB2844_605803125_GaskinsProperty_sorted	DC_MB2846_603633631_Langdale_sorted	DC_MB2847_845338285_FortStewart_sorted	DC_MB2848_605790607_BroxtonRocksEast_sorted	DC_MB2852_603639823_Langdale_sorted	DC_MB2861_607338834_OISPNorth_sorted	DC_N4_georgia_WayneCo_LittleSatillaWMA_sorted	DC_O3_georgia_WheelerCo_LittleOcmulgee_sorted	DC_O5_georgia_WheelerCo_LittleOcmulgee_sorted	DC_OCIC.15_Fuller_PetTrade_sorted	DC_OCIC.246_X1_georgia_JeffDavisCo_FlatTubWMA_sorted	DC_OCIC.73_V4_georgia_AtkinsonCo_DeathAgeCem_sorted	DC_P5_georgia_TelfairCo_AlligoodTract_sorted	DC_Q4_georgia_BryanCo_FtStewart_sorted	DC_S1_georgia_LongCo_FIAFRC_sorted	DC_S4_georgia_LongCo_FIAFRC_sorted
DC_A6_georgia_EvansCo_FtStewart_sorted	0	3.99744	3.98186	4.07875	3.92076	4.73643	4.42469	4.13634	4.19245	4.19406	4.28773	4.22884	4.14446	4.23385	4.11468	4.0611	4.0226	4.07717	4.03335	4.09133	3.97746	4.19248	4.08242	4.08882	4.24398	4.27469	3.87987	4.01749	6.54582	6.3668	6.43978	6.89353	6.19927	6.2146	6.20188	6.40582	6.3217	5.91944	5.83847	5.50665	6.2288	5.41771	5.28881	5.43361	5.52781	5.46088	5.35199	5.4935	5.2812	5.37155	5.47469	5.38542	6.46182	5.68511	6.40364	5.51013	5.54111	5.38542	5.28015	5.30273	6.6416	6.30166	6.35206	6.43137	5.4597	5.53435	5.46426	5.19434	6.57886	6.38823	6.40968	5.03653	6.29396	6.25467	6.46646	6.43327	5.34468	5.54468	5.32186	5.08018	4.51856	4.34492	4.60138	4.64421	5.42529	4.1342	4.29622	5.34177	5.1484	5.50718	6.42809	6.53567	5.18916	5.14495	5.28487	5.12163	5.15056	5.91402	5.4395	5.49066	4.89402	4.44598	6.43951	5.4875	4.62333	5.50781	6.00473	5.51595	5.57352	4.24912	5.56838	6.07253	5.14422	6.57284	5.93982	5.9122
DC_AUHT-5492_florida_HighlandsCo_Archbold_sorted	4.00656	0	7.73318	7.94697	7.98056	6.75304	7.30996	8.03599	7.47512	7.39673	7.70877	7.27182	7.56371	7.53712	7.40772	8.09763	8.13406	7.22012	7.9874	7.76659	8.17712	7.20057	7.7687	7.65921	7.30843	8.05965	8.15227	8.16063	3.9175	4.04388	3.69088	3.94404	3.85629	3.98691	4.08819	3.84843	3.82889	4.2454	4.40425	4.52364	4.22488	4.57922	4.62099	4.55835	4.50606	4.52799	4.42773	4.60725	4.69313	4.61189	4.53764	4.69184	4.02548	4.41975	3.95951	4.51319	4.51424	4.96876	4.7851	4.76321	3.71348	3.96356	3.81282	3.82754	4.53038	4.39036	4.53005	4.86762	4.05197	3.98828	3.87441	5.25862	4.02276	4.11481	3.8145	3.99522	4.61733	4.57394	4.58284	5.15845	5.95313	6.46522	6.53463	6.55007	5.40307	6.52317	6.38012	4.74413	5.18095	4.33523	4.0861	4.25062	4.69322	5.24354	4.63526	4.94799	5.08863	4.22043	4.69659	4.59502	5.02904	5.72451	4.00322	4.48946	5.57091	4.48553	4.55477	4.35997	4.46523	6.98729	4.51081	3.80816	4.61041	3.83267	4.42149	4.19634
DC_AUHT-5495_florida_HighlandsCo_Archbold_sorted	3.9698	7.73624	0	7.81129	8.07623	6.72198	7.11233	7.92673	7.86905	7.27757	7.32141	7.66042	7.3284	7.55269	7.77833	7.96256	8.17875	7.39754	7.81203	7.4491	7.92628	7.33792	7.59437	7.42936	7.112	7.94973	8.04153	8.18811	3.801	4.05981	3.90974	3.93919	3.87941	4.05341	3.96747	3.93507	3.91534	4.25304	4.33255	4.60854	3.9991	4.77977	4.90011	4.64533	4.58508	4.55185	4.70202	4.68967	4.57597	4.76192	4.69302	4.65176	4.00253	4.67459	3.90543	4.5571	4.62624	4.803	4.68848	4.67167	3.95501	4.06176	3.94041	3.9374	4.68239	4.62018	4.40375	4.66925	3.99894	3.91329	3.92663	5.23657	3.93382	4.01849	3.89142	3.98325	4.70682	4.79992	4.81772	5.0866	5.93072	6.2099	6.15835	6.72436	5.25989	6.0367	6.31319	4.76675	4.9608	4.32822	4.14206	3.7817	4.73627	5.22156	4.79985	4.87183	5.26048	4.42053	4.82884	4.55828	4.90954	5.78161	3.85525	4.6555	5.71221	4.72104	4.43508	4.44448	4.63586	7.02129	4.40072	3.80307	4.46612	3.87826	4.43977	4.30535
DC_AUHT-5505_florida_HighlandsCo_Archbold_sorted	4.06468	7.94572	7.79489	0	7.96762	6.6138	7.08856	7.83476	7.71696	7.42863	7.62414	7.53271	7.20523	7.38803	7.35484	7.91385	7.97481	7.49033	7.78708	7.67117	7.92526	7.30275	7.58787	7.27614	7.26759	7.86925	7.78166	7.90955	3.91707	4.14887	3.90521	4.06311	3.79679	4.11501	4.24582	3.98554	3.87248	4.35174	4.49032	4.42928	4.27227	4.61185	4.65524	4.59671	4.62756	4.55056	4.589	4.53887	4.75932	4.67006	4.58408	4.67432	4.0679	4.55494	4.05242	4.52829	4.40897	4.84861	4.76452	4.75705	3.91962	4.06893	3.96113	3.97929	4.51802	4.3617	4.56022	4.60829	4.02508	3.90902	3.8441	5.44919	3.91088	3.90799	3.92065	4.03128	4.55269	4.73555	4.60802	5.15765	6.16216	6.37121	6.53209	6.40962	5.6208	6.39901	6.4915	4.59701	5.03675	4.52523	4.10032	4.1988	4.79644	5.11293	4.83264	5.03455	5.14064	4.29929	4.58683	4.5841	5.04199	5.64137	4.0629	4.48905	5.47335	4.7703	4.48207	4.21117	4.37125	7.10567	4.63502	3.87136	4.66016	3.80696	4.37555	4.38889
DC_AUHT-5511_florida_HighlandsCo_PlacidLakes_sorted	3.90522	7.97289	8.06682	7.97217	0	6.74406	7.19115	8.20315	7.86808	7.67587	7.63418	7.67964	7.91714	7.59051	7.53291	8.20805	8.12928	7.42564	7.96614	7.89145	8.19121	7.5631	7.62949	7.87734	7.28132	7.98558	8.15316	8.06001	3.81763	3.83513	3.74348	3.81751	3.67032	4.01275	3.98582	3.93164	3.79664	4.1481	4.41747	4.46991	3.9717	4.66229	4.73212	4.49912	4.43934	4.57728	4.45052	4.45607	4.64515	4.73867	4.5115	4.58881	3.84436	4.45387	3.82647	4.66677	4.44849	4.91871	4.7535	4.61782	3.81403	3.75877	3.80479	3.79861	4.56314	4.54735	4.45937	4.7314	3.81451	3.80545	3.76287	5.4482	3.89968	3.76636	3.73613	3.80659	4.57972	4.50956	4.63938	5.28819	6.1328	6.49289	6.47532	6.60433	5.2981	6.45887	6.48819	4.77361	5.07412	4.41578	3.93968	4.04815	4.55607	5.23669	4.66561	4.89804	5.23387	4.24281	4.55039	4.5879	5.12207	5.8463	3.92005	4.57457	5.59666	4.52684	4.53339	4.42675	4.64005	7.12282	4.42391	3.74033	4.65029	3.83034	4.31997	4.25381
DC_AUHT-5514_florida_IndianRiverCo_Fellsmere_sorted	4.75248	6.77179	6.73715	6.65161	6.75382	0	6.43991	6.58126	7.06856	6.31141	6.61222	6.71391	6.55974	6.5029	6.7148	6.80311	6.64719	6.61514	6.589	6.65122	6.79235	6.43997	6.55708	6.39601	6.71515	6.76437	6.72464	6.68892	4.65879	4.39574	4.428	4.66802	4.47801	4.54701	4.51204	4.4582	4.4088	4.87514	4.97233	4.96759	4.78306	4.90136	4.9029	4.77833	4.86224	4.86394	4.86258	4.73008	4.89923	4.87213	4.82268	4.91909	4.59216	4.78326	4.48104	5.03652	4.53809	4.92269	5.03901	4.80827	4.66235	4.4725	4.38342	4.47968	4.81122	4.62674	4.85311	4.96597	4.40447	4.43615	4.41052	5.26493	4.43803	4.4512	4.4237	4.49487	4.73428	4.83194	4.63881	5.03235	5.97853	6.37071	6.30323	6.19307	5.71302	6.06427	6.09191	5.04414	5.11832	4.74608	4.5384	4.62507	4.87115	5.19819	4.8003	5.21327	5.40341	4.886	4.86718	4.85722	4.93462	5.23344	4.66374	4.59765	5.36222	4.76065	4.80393	4.93452	5.04665	6.55782	4.61757	4.42644	4.79174	4.57094	4.92729	4.74706
DC_AUHT-5517_florida_MartinCo_IndianTown_sorted	4.42606	7.30207	7.11452	7.09523	7.20413	6.42751	0	7.10429	6.89568	6.92615	6.71483	6.83523	7.19977	7.03461	6.61642	7.33088	7.04256	6.76493	7.20256	7.10268	7.13366	6.83333	7.12148	7.13714	6.78312	7.35653	7.55756	7.13252	4.40686	4.28539	4.30073	4.16691	4.13717	4.25164	4.20945	4.17975	4.25514	4.59141	4.59342	4.86037	4.30995	4.81654	4.83654	4.71417	4.94914	4.83929	4.81164	4.69736	4.7958	4.87445	4.72958	4.72568	4.20791	4.69406	4.20018	4.53844	4.53794	4.91139	4.88754	4.76359	4.40844	4.43416	4.20652	4.27323	4.5223	4.80735	4.76002	4.88412	4.27927	4.15983	4.24434	5.27272	4.38623	4.31485	4.29458	4.25742	4.70505	4.9288	4.90987	5.18204	5.8183	6.15657	6.21699	6.5202	5.68584	6.10394	6.29661	4.83683	5.0252	4.52213	4.29187	4.50777	4.74881	5.13287	4.66797	4.97551	5.22335	4.62273	4.68025	4.5546	5.07679	5.73624	4.26007	4.6011	5.60046	4.7619	4.6799	4.82213	4.86485	6.96948	4.68693	4.39385	4.85191	4.31297	4.53969	4.54729
DC_AUHT-5520_florida_HighlandsCo_LakePlacid_sorted	4.13108	8.01414	7.90837	7.82888	8.19625	6.54967	7.08894	0	7.82002	7.53876	7.6297	7.5237	7.71239	7.55297	7.5157	7.99397	8.07775	7.44078	8.06388	7.72505	7.98414	7.45382	7.4777	7.7121	7.29671	7.95825	8.0428	8.02509	3.9947	4.07508	3.86945	4.00189	3.96982	4.22144	4.11173	3.96588	3.94994	4.19894	4.20276	4.43171	4.21829	4.77203	4.58179	4.499	4.54715	4.42481	4.36124	4.50435	4.67	4.76009	4.68305	4.62233	3.86341	4.49808	3.93465	4.73093	4.53296	4.80107	4.79764	4.58422	3.83403	3.88241	3.87274	3.87466	4.60348	4.38817	4.5467	4.58849	4.04506	3.8147	3.96022	5.34368	4.03682	3.97847	3.80797	3.89104	4.6379	4.41743	4.623	4.96156	5.96282	6.11347	6.28357	6.60018	5.31098	6.54512	6.1879	4.72807	5.00118	4.48881	4.14033	4.39703	4.54997	5.14132	4.65124	5.13262	4.92089	4.23959	4.6158	4.66033	4.90423	5.66539	4.05895	4.65859	5.60438	4.65715	4.53279	4.4858	4.57441	7.06469	4.54534	3.84097	4.526	3.8079	4.29062	4.35995
DC_AUHT-5522_florida_HighlandsCo_LakeJuneinWinter_sorted	4.18047	7.45592	7.861	7.70883	7.87171	7.04352	6.87863	7.81868	0	7.35013	7.69265	8.0489	7.56803	7.65577	7.81351	7.5354	7.7771	7.71312	7.83518	7.56913	7.65113	7.63236	7.55755	7.38776	7.01911	7.76798	7.70586	7.66841	4.10716	4.13887	3.85389	3.97749	3.95704	4.01787	4.09804	4.04001	3.93842	4.2135	4.23694	4.41884	4.33044	4.82187	4.75554	4.65319	4.45262	4.36756	4.53799	4.26781	4.52927	4.74471	4.6903	4.49652	4.20905	4.34068	3.93338	4.46115	4.61561	4.84218	4.7004	4.71966	4.02408	3.95803	3.96087	4.10683	4.73896	4.34924	4.38126	4.65231	4.2557	3.96752	3.8712	5.24511	4.10632	3.97286	3.93688	3.87292	4.68761	4.53871	4.53055	5.32589	6.29241	6.45208	6.45419	6.67232	5.58111	6.38175	6.40068	4.76065	4.95963	4.41449	4.14417	4.30059	4.65635	5.12628	4.72409	4.95832	4.8916	4.45413	4.61697	4.54487	4.96085	5.73896	4.09246	4.53661	5.61545	4.44617	4.55992	4.43272	4.58129	7.06125	4.4689	3.93858	4.56643	3.88551	4.27433	4.33515
DC_AUHT-5523_florida_HighlandsCo_LakeWalesRidge_sorted	4.21264	7.42782	7.3285	7.47562	7.73747	6.3379	6.96798	7.59598	7.40715	0	7.72322	7.42066	7.41404	7.46875	7.09294	7.33679	7.62531	7.10855	7.66836	7.81925	7.49657	7.43941	7.21745	7.33031	6.88757	7.5947	7.38749	7.44199	3.91269	4.27003	3.79793	4.11652	3.84626	4.15858	4.01527	4.11743	3.98759	4.31202	4.47687	4.71812	4.31701	4.77345	4.76865	4.67177	4.6553	4.76829	4.61761	4.60915	4.703	4.59591	4.58272	4.59496	4.04188	4.73221	4.04671	4.64855	4.62418	4.94604	4.79288	4.66715	3.90147	4.01786	4.00272	3.90792	4.69913	4.54145	4.56897	4.8632	3.88578	3.95165	4.00376	5.29809	4.05533	3.98701	3.99005	4.01401	4.69137	4.8713	4.79179	5.12844	6.09743	6.43849	6.66072	6.48551	5.12947	6.33194	6.41288	4.89533	4.97027	4.63757	4.07802	4.25683	4.70416	5.29779	4.71007	5.23145	5.05102	4.59415	4.92298	4.65565	5.24491	5.80174	4.18722	4.66273	5.58374	4.81654	4.63441	4.49825	4.71468	6.97285	4.74939	3.80239	4.63672	3.79165	4.70317	4.61544
DC_AUHT-5540_florida_HighlandsCo_LakeIstokpoga_sorted	4.29128	7.68765	7.33091	7.60766	7.64579	6.58061	6.7061	7.6447	7.6996	7.67627	0	7.47514	7.59701	7.38427	7.35826	7.3122	7.61973	7.34295	7.66817	7.89153	7.6822	7.56216	7.39138	7.44025	7.15428	7.51588	7.48737	7.58979	4.06065	4.12324	3.97338	4.17739	4.1426	4.11632	4.18408	4.10582	3.86194	4.39834	4.31614	4.53323	4.28642	4.76127	4.67895	4.73273	4.56442	4.65276	4.53701	4.21834	4.69936	4.57299	4.51469	4.50046	4.04401	4.47894	4.01766	4.48568	4.52263	5.10278	4.64555	4.78292	4.14029	4.18545	3.96425	4.01733	4.7001	4.45845	4.52813	4.81196	4.45716	4.15124	4.02173	5.13716	4.21213	4.15532	3.98247	3.92654	4.72926	4.60687	4.59584	4.96254	5.97408	6.54465	6.47431	6.61429	5.30706	6.51433	6.55393	4.8872	5.01147	4.4077	4.12588	4.24504	4.75266	5.2213	4.61793	4.9156	5.07645	4.52399	4.61972	4.53299	5.43084	5.85323	4.16629	4.71084	5.51345	4.41527	4.47044	4.35484	4.45464	6.94655	4.553	3.89571	4.62918	3.94562	4.43691	4.42256
DC_AUHT-5566_florida_HighlandsCo_PlacidLakes_sorted	4.24232	7.29062	7.68277	7.56541	7.7143	6.71554	6.8552	7.56322	8.08925	7.40118	7.50853	0	7.36957	7.76698	7.50829	7.42733	7.64161	7.7572	7.52223	7.28008	7.45434	7.50819	7.25712	7.24201	7.05319	7.64589	7.54329	7.58488	4.09526	4.1608	3.80783	4.07897	3.95163	4.01526	4.00548	4.1955	4.0428	4.40345	4.38066	4.67095	4.37973	4.59418	4.68358	4.77593	4.57888	4.52965	4.69875	4.31652	4.65896	4.65809	4.76071	4.65817	4.08616	4.58014	3.99078	4.62322	4.60032	5.03638	4.75069	4.63334	3.95174	3.95577	4.08375	4.06298	4.78726	4.3842	4.48535	4.64671	4.03829	4.02367	4.01544	5.36599	4.10244	3.95753	3.97753	3.87695	4.72934	4.82696	4.8435	5.25768	6.18852	6.2877	6.53755	6.79109	5.5992	6.29345	6.51228	4.6475	4.95634	4.36536	3.92465	4.00303	4.66183	5.12596	4.68165	5.12262	5.06117	4.41262	4.6295	4.60595	5.16317	5.93836	4.14895	4.75618	5.67479	4.53155	4.69027	4.54115	4.53001	6.9328	4.52719	3.89327	4.54374	3.9093	4.30902	4.53587
DC_AUHT-5579_florida_CaptivaCo_CaptivaIsland_sorted	4.10624	7.52082	7.28468	7.17539	7.89923	6.5234	7.16077	7.68189	7.53067	7.32365	7.56387	7.30773	0	7.38679	7.22397	7.39381	7.60916	7.05857	7.30293	7.48768	7.69532	7.46504	7.8034	10.5621	7.26411	7.26284	7.46828	7.40752	3.97323	4.08901	3.80623	4.09541	3.85306	4.06813	3.91578	3.55811	3.9294	4.42897	4.43657	4.53626	4.02671	4.8955	4.74995	4.69464	4.56589	4.63241	4.56497	4.47006	4.47628	4.73742	4.68825	4.7249	3.95224	4.79135	3.98768	4.54943	4.54113	5.07496	4.72935	4.9382	3.69995	3.93299	4.0874	3.96279	4.71681	4.55373	4.5518	4.71677	3.847	3.91123	4.14136	5.457	4.19747	3.9357	3.81036	3.85263	4.6241	4.43114	4.61184	5.2698	6.0846	6.62467	6.54668	6.95015	5.40574	6.66393	6.53802	4.67819	5.27391	4.39243	4.0124	3.90241	4.69887	5.38322	4.53321	5.21477	5.22892	4.47506	4.64959	4.57379	4.92136	5.94494	4.23646	4.41569	5.98095	4.36501	4.53023	4.31665	4.47862	6.77268	4.82981	3.82954	4.68418	3.71414	4.54187	4.34407
