#Cfactor 0.00397305
Recipient	DC_A6_georgia_EvansCo_FtStewart_sorted	DC_AUHT_5492_florida_HighlandsCo_Archbold_sorted	DC_AUHT_5495_florida_HighlandsCo_Archbold_sorted	DC_AUHT_5505_florida_HighlandsCo_Archbold_sorted	DC_AUHT_5511_florida_HighlandsCo_PlacidLakes_sorted	DC_AUHT_5514_florida_IndianRiverCo_Fellsmere_sorted	DC_AUHT_5517_florida_MartinCo_IndianTown_sorted	DC_AUHT_5520_florida_HighlandsCo_LakePlacid_sorted	DC_AUHT_5522_florida_HighlandsCo_LakeJuneinWinter_sorted	DC_AUHT_5523_florida_HighlandsCo_LakeWalesRidge_sorted	DC_AUHT_5540_florida_HighlandsCo_LakeIstokpoga_sorted	DC_AUHT_5566_florida_HighlandsCo_PlacidLakes_sorted	DC_AUHT_5579_florida_CaptivaCo_CaptivaIsland_sorted	DC_AUHT_5581_florida_HighlandsCo_LakeWalesRidgeOrangeBlossom_sorted	DC_AUHT_5585_florida_HighlandsCo_LakeWalesRidgeLPScrub_sorted	DC_AUHT_5588_florida_HighlandsCo_Venus_sorted	DC_AUHT_5593_florida_HighlandsCo_PlacidLakes_sorted	DC_AUHT_5598_florida_HighlandsCo_LakeJuneinWinter_sorted	DC_AUHT_5601_florida_Archbold_sorted	DC_AUHT_5603_florida_HighlandsCo_SebringGrassyCreek_sorted	DC_AUHT_5606_florida_HighlandsCo_Venus_sorted	DC_AUHT_5613_florida_HighlandsCo_HighlandsHammock_sorted	DC_AUHT_5615_florida_Montura_OkaloacoocheeSlough_sorted	DC_AUHT_5617_florida_CaptivaCo_CaptivaIsland_sorted	DC_AUHT_5626_florida_MiamiDadeCo_NearTurkeyPoint_sorted	DC_AUHT_5635_florida_HighlandsCo_Archbold_sorted	DC_AUHT_5636_florida_HighlandsCo_Venus_sorted	DC_AUHT_5637_florida_HighlandsCo_Venus_sorted	DC_AUHT_5646_georgia_Hahira_sorted	DC_AUHT_5651_georgia_EvansCo_Daisy_sorted	DC_AUHT_5654_georgia_EvansCo_Daisy_sorted	DC_AUHT_5655_georgia_EvansCo_Daisy_sorted	DC_AUHT_5662_georgia_BryanCo_sorted	DC_AUHT_5665_georgia_EvansCo_Daisy_sorted	DC_AUHT_5666_georgia_BryanCo_sorted	DC_AUHT_5667_georgia_BryanCo_Southward_sorted	DC_AUHT_5668_georgia_EvansCo_Daisy_sorted	DC_AUHT_5670_georgia_WayneCo_Akin_sorted	DC_AUHT_5675_georgia_LongCo_Tibet_sorted	DC_AUHT_5681_georgia_WheelerCo_Scotland_sorted	DC_AUHT_5683_georgia_EvansCo_Daisy_sorted	DC_AUHT_5687_georgia_CoffeeCo_SappsStill_sorted	DC_AUHT_5695_georgia_CoffeeCo_SappsStill_sorted	DC_AUHT_5698_georgia_CoffeeCo_Pridgen_sorted	DC_AUHT_5706_georgia_WheelerCo_LumberCity_sorted	DC_AUHT_5713_georgia_WheelerCo_LumberCity_sorted	DC_AUHT_5716_georgia_WheelerCo_LumberCity_sorted	DC_AUHT_5725_georgia_WheelerCo_LumberCity_sorted	DC_AUHT_5727_georgia_TelfairCo_McRaeHelena_sorted	DC_AUHT_5729_georgia_TelfairCo_Snipesville_sorted	DC_AUHT_5733_georgia_TelfairCo_Jacksonville_sorted	DC_AUHT_5734_georgia_TelfairCo_Jacksonville_sorted	DC_AUHT_5735_georgia_BryanCo_Southward_sorted	DC_AUHT_5744_georgia_WheelerCo_LumberCity_sorted	DC_AUHT_5765_georgia_BryanCo_Southward_sorted	DC_AUHT_5793_georgia_TelfairCo_Snipesville_sorted	DC_AUHT_5803_georgia_CoffeeCo_Pridgen_sorted	DC_AUHT_5808_georgia_TelfairCo_Jacksonville_sorted	DC_AUHT_5827_georgia_TelfairCo_Jacksonville_sorted	DC_AUHT_5830_georgia_TelfairCo_Snipesville_sorted	DC_AUHT_5871_georgia_EvansCo_Daisy_sorted	DC_AUHT_5876_georgia_FortStewart_Willie_sorted	DC_B4_georgia_BryanCo_FtStewart_sorted	DC_B8_georgia_BryanCo_FtStewart_sorted	DC_C2_georgia_TelfairCo_sorted	DC_D2_georgia_Conecuh_sorted	DC_D9_georgia_Conecuh_sorted	DC_E2_georgia_GenCoffeeStatePark_sorted	DC_F6_georgia_BryanCo_FtStewart_sorted	DC_F9_georgia_BryanCo_FtStewart_sorted	DC_FEMALET_unknown_unknown_sorted	DC_FEMALEV_unknown_unknown_sorted	DC_G4_georgia_EvansCo_Canoochee_sorted	DC_G9_georgia_EvansCo_SandsSiteCanoochee_sorted	DC_H4_georgia_EvansCo_WarnellCanoochee_sorted	DC_H5_georgia_EvansCo_WarnellCanoochee_sorted	DC_I2_georgia_BroxtonRocksTNC_sorted	DC_K3_georgia_WheelerCo_LittleOcmulgee_sorted	DC_K5_georgia_WheelerCo_LittleOcmulgee_sorted	DC_L2_georgia_AlapahaRiverRanch_sorted	DC_MB2702_UF123385_Florida_Alachua_sorted	DC_MB2705_UF150061_Florida_Citrus_sorted	DC_MB2706_UF150062_Florida_Marion_sorted	DC_MB2709_UF152860_Florida_Citrus_sorted	DC_MB2710_UF153475_Florida_Putnam_sorted	DC_MB2717_UF157531_Florida_Gilchrist_sorted	DC_MB2719_UF165218_Florida_Citrus_sorted	DC_MB2723_076321591_Gerogia_OISPNorth_sorted	DC_MB2724_605806003_Georgia_GaskinsProperty_sorted	DC_MB2803_605804613_MoodyForest_sorted	DC_MB2805_604806826_FortStewart_sorted	DC_MB2810_605359320_CanoocheeSandhillsWMA_sorted	DC_MB2813_605056639_OISPNorth_sorted	DC_MB2815_603639016_GaskinsProperty_sorted	DC_MB2818_066265616_OISPNorth_sorted	DC_MB2819_606112553_GaskinsProperty_sorted	DC_MB2828_605799017_GaskinsProperty_sorted	DC_MB2833_605066603_ReddingProperty_sorted	DC_MB2836_076308773_OISPNorth_sorted	DC_MB2838_605791060_BroxtonRocksEast_sorted	DC_MB2844_605803125_GaskinsProperty_sorted	DC_MB2846_603633631_Langdale_sorted	DC_MB2847_845338285_FortStewart_sorted	DC_MB2848_605790607_BroxtonRocksEast_sorted	DC_MB2852_603639823_Langdale_sorted	DC_MB2861_607338834_OISPNorth_sorted	DC_N4_georgia_WayneCo_LittleSatillaWMA_sorted	DC_O3_georgia_WheelerCo_LittleOcmulgee_sorted	DC_O5_georgia_WheelerCo_LittleOcmulgee_sorted	DC_OCIC.15_Fuller_PetTrade_sorted	DC_OCIC.246_X1_georgia_JeffDavisCo_FlatTubWMA_sorted	DC_OCIC.73_V4_georgia_AtkinsonCo_DeathAgeCem_sorted	DC_P5_georgia_TelfairCo_AlligoodTract_sorted	DC_Q4_georgia_BryanCo_FtStewart_sorted	DC_S1_georgia_LongCo_FIAFRC_sorted	DC_S4_georgia_LongCo_FIAFRC_sorted
DC_A6_georgia_EvansCo_FtStewart_sorted	0	7.66622	7.64229	7.73349	7.5691	8.7764	8.22697	7.91207	7.69908	7.8691	7.98717	8.09519	7.62188	8.08261	7.83132	7.73592	7.66689	7.79207	7.5284	7.96094	7.6709	7.85805	7.74794	7.58052	8.05923	7.90138	7.68154	7.80132	11.4579	11.2296	11.3813	12.258	11.0419	10.891	10.9566	11.5236	11.1962	10.6799	10.3084	9.75653	11.0403	9.70751	9.50628	9.89418	9.91165	9.82946	9.81169	9.79405	9.63273	9.84808	9.75792	9.66622	11.3969	10.0438	11.4096	9.78348	9.9014	9.81986	9.74424	9.64593	11.681	11.1956	11.1673	11.3478	9.85636	9.79628	9.70757	9.62253	11.4512	11.3246	11.2538	9.34994	11.0693	11.0452	11.4111	11.3515	9.73185	9.82719	9.62148	9.34516	8.40962	8.01577	8.5641	8.39883	9.42199	7.9811	8.00726	9.47	8.97388	9.64476	10.9584	11.2158	9.40845	9.09638	9.21738	9.14602	9.02856	10.1303	9.41827	9.62175	8.79797	8.11176	11.1284	9.57538	8.41126	9.56067	10.4313	9.88688	9.93871	8.17148	9.87026	10.9652	9.52608	11.672	10.5402	10.6033
DC_AUHT_5492_florida_HighlandsCo_Archbold_sorted	7.69132	0	13.7207	13.5203	14.5695	11.6262	12.7174	14.0814	13.9469	13.0754	13.1763	13.0647	13.873	13.1498	13.2004	14.4839	14.4903	13.2384	14.3813	13.1183	14.6361	12.8606	13.6894	13.3616	12.4457	14.1407	14.5101	13.8932	7.5708	7.67988	7.24787	7.57064	7.4645	7.56421	7.82155	7.55803	7.51703	7.88102	8.36104	8.32073	7.85979	8.32202	8.41505	8.39326	8.25303	8.23086	8.10993	8.43074	8.39335	8.50484	8.26824	8.25787	7.76598	8.18034	7.50453	8.25124	8.40776	8.62986	8.5488	8.52278	7.30191	7.55118	7.59183	7.56451	8.29907	8.20392	8.30392	8.5082	7.69648	7.7237	7.65735	9.01776	7.68782	7.94467	7.46777	7.61502	8.51535	8.32479	8.53479	9.16	10.2097	10.6516	10.7724	11.0937	9.39749	10.9742	10.7246	8.15803	8.81139	7.97954	7.5573	7.7745	8.37122	8.9271	8.15834	8.52217	8.77046	7.87542	8.10958	8.21309	8.55472	9.76133	7.43418	8.30543	9.45756	7.84842	8.38521	8.17271	8.36371	12.5407	8.22056	7.31841	8.53708	7.41275	8.27739	8.21767
DC_AUHT_5495_florida_HighlandsCo_Archbold_sorted	7.64674	13.7348	0	13.8221	14.315	11.6566	12.4638	14.0602	13.9423	13.0196	13.163	13.3884	13.4493	12.8596	13.9008	14.2551	14.8158	13.3027	14.2292	13.1007	14.0402	12.7351	13.3886	13.312	12.3252	14.0566	14.2994	14.2261	7.37836	7.69774	7.47013	7.50401	7.49742	7.77484	7.57788	7.48903	7.57285	8.11061	8.37417	8.21744	7.69792	8.59648	8.67683	8.44823	8.32068	8.14348	8.36619	8.43244	8.40413	8.54978	8.39182	8.47518	7.74836	8.55648	7.45792	8.29696	8.3733	8.51895	8.46526	8.56808	7.59096	7.59976	7.65024	7.61982	8.3598	8.31958	8.12195	8.3836	7.61837	7.67108	7.6303	9.13891	7.59768	7.81475	7.48274	7.52353	8.61735	8.42846	8.48458	9.07797	10.3458	10.713	10.3655	11.6808	9.54592	9.98865	10.7779	8.36522	8.82761	7.82597	7.42983	7.28309	8.34154	8.82173	8.39315	8.74379	8.99577	7.94347	8.42026	8.20228	8.77942	9.65745	7.25168	8.32808	9.57389	8.3746	8.34229	8.21209	8.45827	12.0668	8.11138	7.35841	8.20051	7.47961	8.23454	8.16639
DC_AUHT_5505_florida_HighlandsCo_Archbold_sorted	7.71103	13.5118	13.7711	0	13.8587	11.6236	12.4163	13.3993	13.3657	13.0803	13.1986	12.9249	12.9891	12.7253	12.8997	13.5823	14.2158	13.0369	13.9267	13.3576	13.6871	12.9887	12.938	12.989	12.4007	13.7408	13.352	13.1679	7.64707	7.94118	7.58118	7.80172	7.58359	7.82103	8.04982	7.80383	7.61983	8.24917	8.58176	8.1955	8.04065	8.44945	8.65589	8.47954	8.52014	8.42564	8.2961	8.37878	8.68416	8.5394	8.25442	8.53914	7.84992	8.53222	7.76212	8.18066	8.37333	8.60465	8.60483	8.62735	7.64265	7.72471	7.74224	7.72831	8.37838	8.1366	8.50313	8.21402	7.74079	7.71151	7.66905	9.29199	7.78325	7.73756	7.61484	7.80137	8.50037	8.54695	8.47941	9.16502	10.3393	10.7497	10.9015	11.0625	10.3942	10.6084	11.0383	8.14091	8.94088	8.20627	7.60294	7.77563	8.41505	8.87401	8.53054	8.81636	8.99847	7.85464	8.26969	8.22936	8.92671	9.63438	7.65984	8.06181	9.31831	8.36618	8.45315	8.05965	8.30556	12.1867	8.50978	7.54545	8.55116	7.55307	8.2693	8.20514
DC_AUHT_5511_florida_HighlandsCo_PlacidLakes_sorted	7.57317	14.5468	14.2818	13.8552	0	11.9249	12.7423	14.0529	14.258	13.3897	13.2675	13.3678	14.1723	13.309	13.2463	14.9582	14.9958	13.756	14.2245	13.716	14.7451	13.2147	12.979	13.833	12.7674	14.055	14.5711	13.9397	7.36335	7.44716	7.31126	7.39858	7.19297	7.61078	7.68619	7.56387	7.33426	7.93439	8.24289	8.12006	7.637	8.50209	8.51107	8.31623	8.20303	8.15518	8.02321	8.15526	8.46663	8.59944	8.2483	8.29191	7.51028	8.18918	7.35796	8.44916	8.25467	8.51939	8.52849	8.20766	7.33409	7.4792	7.4431	7.43256	8.33925	8.24529	8.17326	8.5492	7.40949	7.41935	7.37264	9.23948	7.49716	7.39228	7.31076	7.3264	8.57147	8.12842	8.36867	9.09217	10.4899	11.0958	10.8379	11.4184	9.54763	10.7656	11.1874	8.19172	8.84804	7.93325	7.23748	7.40084	8.13347	9.01297	8.28996	8.52056	8.89597	7.85413	8.14727	8.15746	8.68746	9.72473	7.41436	8.25471	9.30025	8.02185	8.36536	8.11914	8.42324	12.2174	8.21334	7.31083	8.36277	7.35595	8.04514	8.01829
DC_AUHT_5514_florida_IndianRiverCo_Fellsmere_sorted	8.81086	11.585	11.5978	11.5723	11.9215	0	11.3286	11.6336	12.184	11.5857	11.7043	11.7019	12.1552	11.6305	11.508	11.6102	11.5896	11.5254	11.4294	11.5658	11.6111	11.4463	11.4303	11.6963	12.3701	11.7541	11.6766	11.7233	8.43751	8.3874	8.35337	8.69042	8.25435	8.58179	8.42232	8.43554	8.27074	9.02083	9.26641	9.01613	8.59066	8.84885	8.81712	8.95271	8.9257	8.90636	8.7344	8.6952	8.95043	9.01642	8.63485	9.02953	8.5386	8.82704	8.39226	8.94929	8.89893	8.8588	9.31341	8.95019	8.59457	8.43384	8.29989	8.46175	8.79628	8.64376	8.83578	9.21533	8.58934	8.25393	8.33363	9.13846	8.48596	8.36	8.34412	8.4552	9.19456	8.85162	8.65066	9.32392	9.90944	11.0365	11.1328	11.0345	10.3518	10.4212	10.3837	8.80208	8.97221	8.67507	8.25265	8.24183	8.76191	8.9142	8.63765	9.12663	9.3501	8.51415	8.69808	8.65626	8.53588	9.25281	8.3423	8.44781	9.224	8.57227	9.0315	8.96697	9.07548	11.7048	8.56727	8.45779	9.19534	8.57767	8.81819	8.7792
DC_AUHT_5517_florida_MartinCo_IndianTown_sorted	8.24042	12.716	12.4704	12.4054	12.7343	11.3478	0	12.0638	12.3684	11.8116	11.9906	11.9054	12.3572	12.1057	11.5559	12.6326	12.5753	11.8057	12.6308	12.1859	12.6729	11.8158	12.038	12.2084	11.7081	12.4239	12.7604	12.1265	8.1298	8.11038	8.03568	8.01175	8.04589	8.15172	8.15431	8.09535	8.03364	8.45445	8.78409	8.92846	8.10859	8.65971	8.75207	8.76605	9.09144	8.93184	8.90461	8.55422	8.88474	8.81419	8.56603	8.69357	8.01058	8.71591	8.09377	8.32002	8.621	8.94226	8.87834	8.66069	8.24537	8.33809	8.06893	8.06294	8.42659	8.88331	8.67744	9.13799	8.16823	8.10841	8.02158	9.13943	8.33208	8.1198	8.13319	8.03899	8.94756	8.90326	8.91363	9.55641	10.091	11.1255	10.7115	11.3197	10.0989	10.5265	10.5535	8.54953	9.29207	8.37084	7.914	8.07838	8.49135	8.95413	8.41085	8.90836	9.1907	8.25225	8.44237	8.61621	9.04228	9.65236	8.09741	8.41494	9.61101	8.53346	8.64417	9.02661	9.02192	12.24	8.7754	8.2056	8.88118	8.0864	8.50845	8.57574
DC_AUHT_5520_florida_HighlandsCo_LakePlacid_sorted	7.88365	13.9311	13.9547	13.3001	13.9564	11.5944	11.9904	0	13.906	13.4546	13.5167	13.2416	13.7151	12.9487	13.1398	13.7247	14.3794	13.1658	14.1166	13.2043	13.6721	13.1253	12.9011	13.6777	12.22	13.8636	14.1318	13.6839	7.69138	7.81768	7.41318	7.60844	7.65569	7.94902	7.8592	7.67337	7.61258	7.97578	8.05876	8.59376	7.99394	8.60832	8.45812	8.34956	8.56204	8.24634	8.37659	8.40652	8.45909	8.66044	8.34406	8.36399	7.64128	8.48882	7.61166	8.73068	8.33612	8.42099	8.66844	8.43862	7.49846	7.52551	7.673	7.64971	8.26689	8.29865	8.24083	8.53657	7.76738	7.6664	7.7152	9.39647	7.80642	7.78553	7.54862	7.50644	8.56684	8.14869	8.45232	8.82563	10.2372	10.4734	10.5485	11.1511	9.53294	11.0951	10.7743	8.35032	8.88855	8.16601	7.47945	7.89751	8.11527	8.78994	8.21914	8.92746	8.67076	7.74617	8.21936	8.3108	8.60936	9.50617	7.54444	8.27389	9.39343	8.32119	8.44511	8.40356	8.51152	12.2576	8.30283	7.50593	8.24886	7.41063	8.02224	8.30028
DC_AUHT_5522_florida_HighlandsCo_LakeJuneinWinter_sorted	7.70771	13.9266	13.9181	13.3458	14.3181	12.1939	12.3554	13.9675	0	13.103	13.5608	14.2811	13.5259	13.905	13.607	13.8241	14.1384	13.6207	14.241	13.1905	13.9611	13.3486	13.4641	13.3064	12.3942	13.7389	14.1058	13.6211	7.67506	7.73223	7.34875	7.4407	7.54826	7.67967	7.66677	7.64296	7.43594	7.81973	8.07728	8.13977	8.04865	8.50534	8.46395	8.36203	8.24187	7.88308	8.23225	7.98981	8.52494	8.5261	8.35532	8.208	7.9344	8.09143	7.44335	8.22561	8.33621	8.46025	8.7803	8.39895	7.52256	7.55478	7.55461	7.68922	8.40384	8.15039	8.0238	8.40681	7.76811	7.60151	7.51121	9.03671	7.80242	7.6416	7.54029	7.48456	8.58228	8.26275	8.40279	9.18236	10.619	11.4845	10.5812	11.4614	9.87134	10.8175	11.0797	8.17857	8.73207	7.88836	7.42087	7.61049	8.39231	8.83892	8.18688	8.68782	8.64228	7.91891	8.19707	8.04351	8.7306	9.75469	7.37714	8.14557	9.47091	8.01649	8.34033	8.21518	8.43075	12.571	8.26162	7.41727	8.32106	7.40914	7.95113	7.92243
DC_AUHT_5523_florida_HighlandsCo_LakeWalesRidge_sorted	7.9032	13.0944	13.0625	13.1084	13.4408	11.6441	11.8474	13.61	13.1458	0	13.574	13.0993	13.5213	12.9599	12.5661	12.7989	13.3707	12.6674	13.711	13.4486	13.0472	13.1576	12.733	13.1556	12.1055	13.2771	13.2768	13.0306	7.66141	7.99999	7.39427	7.65139	7.4557	7.81484	7.71874	7.78607	7.73691	8.17058	8.46652	8.48418	8.05608	8.61643	8.89328	8.76667	8.56901	8.49685	8.43835	8.50214	8.63899	8.66463	8.26136	8.53809	8.29208	8.63492	7.71375	8.62485	8.82241	8.72773	8.69416	8.6641	7.58966	7.57755	7.70025	7.56049	8.67478	8.20283	8.43447	8.64668	7.4557	7.6753	7.78217	9.27522	7.79765	7.70897	7.77195	7.70164	8.75877	8.75944	8.6512	8.95076	10.4949	10.7406	10.9132	10.8826	9.28654	10.4334	11.01	8.47998	8.62321	8.25165	7.48265	7.72453	8.39739	9.25388	8.341	9.09591	9.00294	8.11997	8.66944	8.29309	8.91755	9.68888	7.69956	8.54002	9.34517	8.66316	8.67428	8.22008	8.43792	12.3678	8.55374	7.44288	8.62398	7.44974	8.48363	8.4053
DC_AUHT_5540_florida_HighlandsCo_LakeIstokpoga_sorted	8.01695	13.1188	13.1474	13.1532	13.3145	11.7271	11.992	13.5951	13.6064	13.5443	0	12.7397	13.2339	12.7507	12.7433	12.9946	13.3399	12.8692	13.2876	13.6901	13.0543	13.0272	12.6121	13.0259	12.5125	12.9661	13.1439	12.9954	7.80615	7.86997	7.62236	7.77848	7.9632	7.81525	8.03043	7.95489	7.64576	8.16355	8.10212	8.38356	8.11732	8.66383	8.54148	8.73663	8.63472	8.27987	8.48004	8.22925	8.81289	8.56661	8.27502	8.19463	7.95483	8.41747	7.75519	8.41123	8.5864	8.94012	8.71753	8.58255	8.02139	7.95153	7.81245	7.89519	8.49865	8.32056	8.26898	8.64975	8.28255	7.94561	7.85099	9.06286	8.01034	7.96808	7.76491	7.59917	8.68328	8.5407	8.47198	9.01859	10.2095	11.0475	10.7321	11.4671	9.7195	10.7101	10.8683	8.4781	8.68062	8.09173	7.68652	7.71766	8.3467	8.93993	8.22661	8.71528	8.88829	8.29805	8.35445	8.1225	9.34732	9.73236	7.68329	8.43631	9.2175	8.13371	8.46643	8.27108	8.4285	12.1965	8.40099	7.68262	8.59131	7.77089	8.24004	8.24721
DC_AUHT_5566_florida_HighlandsCo_PlacidLakes_sorted	8.143	13.0816	13.4446	13.0327	13.4806	11.7868	11.9502	13.3807	14.3906	13.088	12.8211	0	13.0581	13.7177	13.3079	12.9489	13.4244	13.2819	13.762	12.5419	13.3587	12.7754	13.1493	12.6358	12.0841	13.5145	13.1163	13.1498	7.77272	7.94177	7.52221	8.01494	7.73722	7.66886	7.77783	7.97603	7.68632	8.24596	8.44756	8.67836	8.24194	8.4799	8.49484	8.54914	8.46369	8.2045	8.42173	8.37525	8.69198	8.53286	8.42462	8.57749	7.93307	8.32196	7.63618	8.40349	8.606	8.83031	8.75285	8.41392	7.62664	7.69773	7.74787	7.77557	8.72977	8.19875	8.44095	8.54193	7.72188	7.71249	7.89268	9.25935	7.8728	7.77659	7.63937	7.50923	8.88782	8.63195	8.63982	9.24092	10.5631	10.9414	10.8643	11.5947	9.82586	10.7104	10.9995	8.08115	8.66435	7.86449	7.73671	7.58039	8.25937	8.78652	8.29033	8.77355	8.78963	8.08028	8.14869	8.35581	8.86643	9.72087	7.75539	8.3233	9.45303	8.3123	8.68948	8.4235	8.42003	11.7349	8.37221	7.51407	8.52312	7.64064	8.15459	8.38953
DC_AUHT_5579_florida_CaptivaCo_CaptivaIsland_sorted	7.57872	13.7565	13.2947	12.8114	14.1312	12.0874	12.256	13.7203	13.4088	13.3153	13.1463	12.9169	0	13.0222	12.8955	13.4368	13.5201	13.303	13.5742	13.3065	13.7068	13.391	13.3134	20.2759	12.803	13.3467	14.0244	12.9506	7.59816	7.74398	7.27561	7.57609	7.5009	7.53021	7.51659	7.19661	7.53954	8.05557	8.27259	8.16855	7.64024	8.35904	8.67038	8.33713	8.19654	8.23522	8.19233	8.10547	8.24423	8.58803	8.1899	8.34631	7.59082	8.41332	7.56676	8.17434	8.31379	8.75732	8.49112	8.58221	7.38605	7.61109	7.63993	7.45481	8.40989	8.21793	8.19664	8.61238	7.46099	7.43073	7.67226	9.5928	7.87395	7.62408	7.28821	7.46365	8.34728	7.95004	8.25109	9.35479	10.3458	11.1883	10.7182	11.6051	9.63289	10.9848	11.615	7.92369	9.47837	7.84163	7.41631	7.2525	8.13716	9.25929	8.02973	8.8581	9.13438	8.0753	8.10736	8.28232	8.85089	10.0681	7.48565	7.93757	10.0402	7.88003	8.25039	7.89722	8.04894	12.0791	8.54626	7.37378	8.51643	7.24352	8.35242	8.44236
DC_AUHT_5581_florida_HighlandsCo_LakeWalesRidgeOrangeBlossom_sorted	8.08427	13.1099	12.8309	12.7566	13.3492	11.6716	12.1354	13.0108	13.9058	12.9074	12.7023	13.6265	13.0779	0	12.8962	12.4258	13.3763	13.3021	13.1023	12.9791	13.348	12.7135	12.7419	12.8639	11.67	13.1365	12.8576	12.5958	7.83372	8.13001	7.6772	7.70741	7.90777	7.76878	7.88605	7.81552	7.81257	8.13273	8.41737	8.17737	8.32518	8.61617	8.73994	8.6101	8.329	7.99632	8.21319	8.32495	8.64309	8.48615	8.31673	8.57448	9.02414	8.42372	7.76192	8.32446	8.64164	8.5265	8.86534	8.40853	7.72666	7.9469	7.7215	7.81252	8.39999	8.23881	8.37215	8.92533	7.91891	7.84856	8.08918	9.42173	8.0242	7.86689	7.66231	7.6059	8.68079	8.40239	8.4051	9.28635	10.4834	11.5624	10.9904	11.5308	9.91342	11.0589	10.9899	8.40624	9.15723	8.17811	7.67956	7.57725	8.14824	8.94787	8.17537	8.84859	8.76284	7.71918	8.42838	8.57086	8.60031	10.1897	7.7488	8.17295	9.9858	8.35191	8.55062	8.37298	8.53418	12.253	8.58621	7.79367	8.52053	7.64386	8.2173	8.39725
DC_AUHT_5585_florida_HighlandsCo_LakeWalesRidgeLPScrub_sorted	7.85195	13.1952	13.9117	12.9291	13.2782	11.5359	11.5527	13.2233	13.6418	12.5087	12.7385	13.2577	13.0015	12.975	0	13.476	13.516	13.0868	13.8946	12.5577	13.8262	12.8341	12.7794	12.8859	11.816	13.4186	13.396	13.2337	7.94432	8.19719	7.87015	7.75333	7.81127	8.0413	7.84693	7.52931	7.87272	8.18439	8.35076	8.69389	7.98759	8.73783	8.46938	8.64776	8.33333	8.11731	8.41345	8.44002	8.55997	8.51725	8.3919	8.54852	7.81908	8.33139	7.90434	8.46864	8.64555	8.59223	8.70795	8.3953	7.83549	7.9545	8.05502	7.82659	8.52411	8.40014	8.35828	8.61089	7.95426	8.00981	7.96142	9.25634	8.00993	7.94468	7.97387	7.78228	8.74676	8.29515	8.32973	8.88179	10.266	11.1299	10.4856	11.1188	9.50651	10.7494	10.6944	8.41269	8.69454	8.01792	7.97064	7.68427	8.30538	9.05052	8.44749	8.78096	9.15078	7.96315	8.44552	8.37312	9.13973	9.5044	7.76291	8.43612	9.34299	8.30811	8.47214	8.41941	8.69013	11.5758	8.24762	7.68192	8.43896	7.95968	8.33938	8.27539
DC_AUHT_5588_florida_HighlandsCo_Venus_sorted	7.73202	14.44	14.2265	13.5288	14.9681	11.6086	12.6165	13.811	13.8146	12.7474	12.9499	12.8871	13.5057	12.412	13.449	0	14.5968	13.5707	14.3626	13.224	14.2652	12.5342	13.1159	13.2795	12.5506	13.8321	14.747	13.9895	7.70428	7.90191	7.47602	7.58381	7.48367	7.813	7.70555	7.64194	7.43789	8.08558	8.44064	8.24881	7.95942	8.42615	8.28091	8.46762	8.31594	8.16998	8.21702	8.15631	8.60972	8.50127	8.5036	8.36675	7.71079	8.3282	7.60796	8.3987	8.45356	8.29089	8.5255	8.13407	7.51014	7.58063	7.54591	7.45731	8.12993	7.97863	8.31576	8.3901	7.70467	7.70416	7.49294	9.3024	7.79291	7.78513	7.79743	7.6346	8.57094	8.31824	8.48978	9.0574	10.1264	10.9945	10.5495	11.3247	9.60544	10.5194	11.0468	8.18098	8.71438	7.95379	7.54326	7.7202	8.12322	8.84711	8.36088	8.61188	9.2639	7.87591	8.43434	8.28118	8.81235	9.49671	7.52979	8.38797	9.42679	8.15969	8.25928	8.06059	8.27939	12.1651	8.41968	7.44523	8.45685	7.43091	8.17249	8.14735
DC_AUHT_5593_florida_HighlandsCo_PlacidLakes_sorted	7.66144	14.4382	14.7832	14.2096	14.9812	11.561	12.5758	14.4268	14.094	13.3137	13.3324	13.3439	13.5577	13.3602	13.4855	14.6238	0	13.3873	14.286	13.5544	15.378	13.0349	13.4096	13.1267	12.2377	14.0798	14.2654	14.2265	7.41006	7.57323	7.22411	7.51732	7.37903	7.545	7.48503	7.33246	7.28355	8.10858	8.11368	8.50181	7.75823	8.36244	8.47897	8.32483	8.26326	8.2322	8.38168	8.11448	8.19922	8.6705	8.34073	8.48622	7.53943	8.31984	7.30388	8.61798	8.04485	8.41244	8.56812	8.32898	7.28834	7.42754	7.5542	7.48029	8.33893	8.25991	8.33201	8.25943	7.6845	7.5533	7.52203	8.91021	7.5813	7.58276	7.28838	7.34573	8.41467	8.24859	8.3245	9.04394	10.5148	10.8394	10.8275	11.7266	9.5373	10.9333	11.2366	8.38837	9.03641	7.87096	7.34323	7.44477	8.25687	8.84334	8.16538	8.93305	9.0761	7.77112	8.49865	8.27399	8.83873	9.3478	7.17577	7.95477	9.31561	7.67797	8.29454	8.33966	8.38171	11.8507	8.16939	7.2027	8.11267	7.34717	8.00086	8.07481
